'default_auth_backend'|'sysclass'|'General'|'Default Backend'|'string'|'Default Authentication Backend'|0
'enable_facebook_login'|'0'|'Login & Signup'|'Enable Facebook Login?'|'bool'|'Enable the user to access the system through Facebook'|1
'enable_forgot_form'|'0'|'Login & Signup'|'Enable Forgot Form'|'bool'|'Enable the \'forgot password\' option to be showed to the user on login screen'|1
'enable_googleplus_login'|'0'|'Login & Signup'|'Enable Google+ Login?'|'bool'|'Enable the user to access the system through Google Plus'|1
'enable_linkedin_login'|'0'|'Login & Signup'|'Enable LinkedIn Login?'|'bool'|'Enable the user to access the system through LinkedIn'|1
'locked_down'|'0'|'General'|'Lock System'|'bool'|'Lock System, preventing ordinary users to access (like a explicit maintenance mode)'|1
'maintenance_mode'|'0'|'General'|'Maintenance Mode'|'bool'|'Lock System, preventing ALL users to access (except system administrators)'|0
'signup_enable'|'1'|'Login & Signup'|'Enable Sign Up?'|'bool'|'Allow anonimous users to create an account'|1
'signup_group_default'|'2'|'Login & Signup'|'Default User Group '|'int'|'Default Group Id for public signup users'|0
'signup_must_approve'|'1'|'Login & Signup'|'Sign Up Aprroval?'|'bool'|'Public Signed Users must be approved?'|1
'site_subtitle'|'Online Education'|'General'|'System Subtitle'|'string'|'System-wide subtitle'|1
'site_title'|'Sysclass'|'General'|'System Title'|'string'|'System-wide Title'|1
